Time,<FuelMassFlw>,<EoNOx>,<PwrHeatTrnsfrLoss>,EngTrq,InjPw,SpkAdv,ICP,ECP
429.2 sec,0.00651277045436545,8.08120713740481e-05,257149.994235438,110.518132470232,15.1421913063997,10,60,10.5175236151258
429.4 sec,0,6.46815732494868e-05,-33588.0130786805,104.458280059593,0,15.55597401618,52.734759152208,33.3112925388601
429.6 sec,0.0034688434916637,6.96280738623438e-05,118939.522550351,117.769239906341,8.0650611181181,21.5802903448514,36.4333888564394,14.0871667463426
429.8 sec,0.0034688434916637,6.96280738623438e-05,118939.522550351,117.769239906341,8.0650611181181,21.5802903448514,36.4333888564394,14.0871667463426
430 sec,0,6.49926219466393e-05,-34177.149855427,106.367601540629,0,16.7055030683526,20,6.16953316609035
430.2 sec,0.00526204648449017,7.63985662847854e-05,201255.301087042,110.927493571129,12.2342580764396,13.6496770674397,34.5539512762917,23.3561614891941
430.4 sec,0.00526204648449017,7.63985662847854e-05,201255.301087042,110.927493571129,12.2342580764396,13.6496770674397,34.5539512762917,23.3561614891941
430.6 sec,0.00395970687020219,7.04653890029853e-05,143194.55613465,111.537633735619,9.20631847322008,36.6547101440375,57.0016448670776,40
430.8 sec,0.00860215053763441,8.16878393743052e-05,351919.834497018,111.537633735619,20,24.6178749585866,50.3085143407436,40
431 sec,0.00860215053763441,8.16878393743052e-05,351919.834497018,111.537633735619,20,24.6178749585866,50.3085143407436,40
431.2 sec,0,6.35617978724847e-05,-34982.086780465,110.091957197699,0,37.3397909603034,20,0
431.4 sec,0.00185744065898625,6.22831806056693e-05,47235.2265341048,118.417820246356,4.31854953214302,37.5403229277558,60,40
431.6 sec,0.00185744065898625,6.22831806056693e-05,47235.2265341048,118.417820246356,4.31854953214302,37.5403229277558,60,40
431.8 sec,0,6.38622840387909e-05,-36260.506000613,113.556157826159,0,40,44.8034433414585,4.64403123361025
432 sec,0.00298787070010158,6.81744430907391e-05,98333.088926414,115.334936567629,6.94679937773618,36.2969644983772,60,30.8991013252904
432.2 sec,0.00298787070010158,6.81744430907391e-05,98333.088926414,115.334936567629,6.94679937773618,36.2969644983772,60,30.8991013252904
432.4 sec,0,6.5815439302528e-05,-33286.6340426515,101.993390337557,0,10,49.9569932033507,28.9778602708468
432.6 sec,0.00550194645408193,7.63293518658812e-05,212078.215332143,111.415908417407,12.7920255057405,15.544331562862,20,0
432.8 sec,0.00550194645408193,7.63293518658812e-05,212078.215332143,111.415908417407,12.7920255057405,15.544331562862,20,0
433 sec,0.00319885057098282,7.11368071816645e-05,107864.510061406,112.925544994242,7.43732757753506,14.5456948866707,31.2505622036502,10.0111994895498
433.2 sec,0.00187135161539607,5.99472149687239e-05,45182.6353469193,126.234897395127,4.35089250579587,40,60,0.243661672335122
433.4 sec,0.00187135161539607,5.99472149687239e-05,45182.6353469193,126.234897395127,4.35089250579587,40,60,0.243661672335122
433.6 sec,0.0047910185884464,7.21369351358692e-05,178226.490085132,118.456949627007,11.1391182181379,40,42.238177182802,17.1206199912249
433.8 sec,0.00260696380427951,6.64190427734056e-05,79577.343214954,119.9433519473,6.06119084494987,39.6391004908518,39.8197440848463,0.204638345974917
434 sec,0.00260696380427951,6.64190427734056e-05,79577.343214954,119.9433519473,6.06119084494987,39.6391004908518,39.8197440848463,0.204638345974917
434.2 sec,0.00305336868983245,6.83391471017073e-05,100350.414845456,117.846480106019,7.09908220386045,25.8144501720308,30.4949680000983,12.4450157781155
